persona_id,community,population,social_vulnerability_score,access_to_resources,question_id,option1,option2,priority_choice,ordered_pair
P001,Community 1,5000,0.7,0,Q031,Repair Water Commercial in Community 2,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Commercial in Community 2']"
P001,Community 1,5000,0.7,0,Q018,Repair Water Residential in Community 1,Repair Water Commercial in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Water Commercial in Community 2']"
P001,Community 1,5000,0.7,0,Q010,Repair Power Residential in Community 1,Repair Power Residential in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Power Residential in Community 2']"
P001,Community 1,5000,0.7,0,Q026,Repair Power Residential in Community 2,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 2']"
P001,Community 1,5000,0.7,0,Q027,Repair Water Residential in Community 2,Repair Water Commercial in Community 2,Repair Water Residential in Community 2,"['Repair Water Residential in Community 2', 'Repair Water Commercial in Community 2']"
P001,Community 1,5000,0.7,0,Q001,Repair Water School in Community 1,Repair Power Residential in Community 1,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 1']"
P001,Community 1,5000,0.7,0,Q033,Repair Water Commercial in Community 2,Repair Water Residential in Community 3,Repair Water Commercial in Community 2,"['Repair Water Commercial in Community 2', 'Repair Water Residential in Community 3']"
P001,Community 1,5000,0.7,0,Q007,Repair Water School in Community 1,Repair Power Residential in Community 3,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Power Residential in Community 3']"
P001,Community 1,5000,0.7,0,Q019,Repair Water Residential in Community 1,Repair Water School in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Water Residential in Community 1']"
P001,Community 1,5000,0.7,0,Q021,Repair Water Residential in Community 1,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Water Residential in Community 1']"
P002,Community 1,5000,0.7,0,Q036,Repair Power Residential in Community 3,Repair Water Residential in Community 3,Repair Water Residential in Community 3,"['Repair Water Residential in Community 3', 'Repair Power Residential in Community 3']"
P002,Community 1,5000,0.7,0,Q015,Repair Power Residential in Community 1,Repair Water Residential in Community 3,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Water Residential in Community 3']"
P002,Community 1,5000,0.7,0,Q034,Repair Water School in Community 3,Repair Power Residential in Community 3,Repair Water School in Community 3,"['Repair Water School in Community 3', 'Repair Power Residential in Community 3']"
P002,Community 1,5000,0.7,0,Q005,Repair Water School in Community 1,Repair Water Commercial in Community 2,Repair Water School in Community 1,"['Repair Water School in Community 1', 'Repair Water Commercial in Community 2']"
P002,Community 1,5000,0.7,0,Q011,Repair Power Residential in Community 1,Repair Water Residential in Community 2,Repair Power Residential in Community 1,"['Repair Power Residential in Community 1', 'Repair Water Residential in Community 2']"
P002,Community 1,5000,0.7,0,Q016,Repair Water Residential in Community 1,Repair Power Residential in Community 2,Repair Water Residential in Community 1,"['Repair Water Residential in Community 1', 'Repair Power Residential in Community 2']"
